Nama_Ibu,Alamat,Kecamatan,Desa,Nomer_NIK,TB_Ibu,BB_Ibu,IMT,Usia_ibu,Pendidikan_Ibu,Pekerjaan_ibu,Pendidikan_AYAH,Pekerjaan_Ayah,Jumlah_PendapatanKeluarga,NominalGaji,Status_Pernikahan,UsiaPertamaMenikahIbu,Kepemilikan_KK,JumlahAnak,Nama_BADUTA,UsiaBaduta,JenisKelamin,PersalinanOleh,BB_Lahir,PanjangLahir,Riwayat_Imunisasi,RiwayatDiare_2mgguTerakhir,RiwayatISPA_2mgguTerakhir,Punya_AkteLahir,BB_Baduta,PB_Baduta,StatusGizi_Baduta,Baduta_Dapat_ASI_Ekslusif,Baduta_DapatMPASI,Baduta_DapatPMT,PMT_DihabiskanAtauTidak,AlasanMendapat_PMT,BadutaDitimbang_Minimal8x,Baduta_DapatZinc_saatDiare,PernahCacingan,PernahMinum_ObatCacing,Bumil_DapatFolat_Fe,Ibu_DapatKonseling_PromosiASI,Ibu_DapatKonseling_PromosiMPASI,Punya_Sal_AirBersih,Punya_Jamban,GunainJamban_BAB,Ada_SepticTank,IBU_CuciTanganSabun_SBLMMakan,IBU_CuciTanganSabun_SetelahBAB,Anak_CuciTanganSabun_SebelumMakan,Anak_CuciTanganSabun_SetelahBAB,Anak_GunakanAlasKakiSaatMAin,Ibu_DapatBantuanBeras,Kel_KonsumsiSayuran,Kel_KonsumsiBuahBuahan,AdaYAnKes_diRumahTinggal,CaraPergi_KePuskesmas,JarakRumahKeYANKES,IBU_PakaiKB,JenisKB,Kepemilikan_BPJS,KewajibanMendidikAnak,YangJagaAnak_SetiapHari,PAUD_SekitarRumah,IbuMenyekolahkanAnak_KePAUD,Ibu_DapatInformasi_Gizi,Status_Stunting
Tildie Micheau,6532 Bellgrove Road,Indiana,United States,#NULL!,156,52,2,27,2,2,2,1,#NULL!,1200000,1,24,1,2,Tildie Micheau,21,1,1,#NULL!,#NULL!,1,2,2,1,10,77,3,1,1,1,2,TidakTahu,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,,1,1,1,1,1,1,Tidak Stunting
Romeo Vines,2728 Truax Crossing,District of Columbia,United States,3.60E+15,145,50,2,40,1,1,1,1,1,1500000,1,20,1,4,Romeo Vines,23,1,1,#NULL!,#NULL!,1,1,1,1,9,79,3,2,2,1,1,Program,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,Suntik 3 ,2,1,1,1,2,2,Stunting
Loren Yearnes,5885 Lerdahl Lane,Texas,United States,3.60E+15,155,48.5,2,23,2,1,3,1,1,2000000,1,18,1,2,Loren Yearnes,18,1,1,3200,49,1,2,1,1,10,80,3,1,1,1,1,Program,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,Implan,2,1,1,1,1,1,Tidak Stunting
Delia Naisbet,4 Steensland Circle,California,United States,3.60E+15,143,47.5,2,32,1,1,1,1,1,1500000,1,21,1,3,Delia Naisbet,22,1,1,3000,49,1,2,1,1,9.3,76,3,2,1,1,2,Program,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Stunting
Herminia Pawlett,27 Petterle Junction,Florida,United States,3.60E+15,156,47,2,23,3,2,3,1,2,4000000,1,21,1,1,Herminia Pawlett,13,2,1,3200,49,1,2,1,1,8.1,74,3,1,1,1,2,Program,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Avrit Beaufoy,7050 Vernon Pass,Indiana,United States,3.60E+15,149,52,2,41,1,1,1,1,1,4000000,1,15,1,3,Avrit Beaufoy,17,2,1,3000,50,1,1,1,1,8.8,78,2,1,2,1,1,Program,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Noel Parzis,54824 Colorado Crossing,Texas,United States,3.60E+15,157,47,2,20,2,1,1,1,1,2000000,1,18,1,1,Noel Parzis,12,1,1,3300,50,2,2,1,1,8.3,79,2,1,2,1,1,Program,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Alwin Quick,265 Vernon Trail,California,United States,3.60E+15,160,66,2,24,1,1,1,1,1,1500000,1,21,1,1,Alwin Quick,15,1,2,#NULL!,#NULL!,2,2,1,1,10,76,3,2,1,1,1,Program,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Ximenes Wolters,750 Jay Street,California,United States,3.60E+15,150,45,2,19,1,1,1,1,1,2000000,1,17,1,1,Ximenes Wolters,10,2,1,3200,51,1,2,1,1,7.7,71,3,1,2,1,2,Program,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Earl Billie,1 Surrey Parkway,California,United States,#NULL!,141,64.5,3,36,2,1,1,1,1,200000,1,29,1,2,Earl Billie,7,1,1,3600,50,1,2,1,1,8,68,3,2,1,1,1,Program,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Vaclav Clowes,8 Dixon Lane,Massachusetts,United States,3.60E+15,154,51,2,22,2,1,2,1,2,25000000,1,20,1,1,Vaclav Clowes,3,2,1,2600,49,1,2,1,2,5.5,58,3,2,2,2,#NULL!,,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Kelcey Marcu,7 Tennyson Lane,Texas,United States,3.60E+15,159,59,2,23,3,1,4,1,1,1000000,1,21,1,1,Kelcey Marcu,14,1,1,3900,#NULL!,2,2,1,1,9.3,77,3,2,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Slade Overthrow,72 Coolidge Lane,Illinois,United States,3.60E+15,152,52,2,30,1,1,3,1,2,4000000,1,17,1,3,Slade Overthrow,10,1,1,3500,50,1,2,1,2,9,72.5,3,2,2,1,2,Program,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,,2,1,1,1,1,1,Tidak Stunting
Elihu Lamb-shine,785 Ohio Crossing,Nevada,United States,3.60E+15,157,55,2,24,1,1,1,1,2,2250000,1,18,1,5,Elihu Lamb-shine,18,2,2,#NULL!,#NULL!,2,2,2,1,10,78,3,1,2,1,2,Program,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,Pil,2,1,1,1,1,1,Tidak Stunting
Robbert McTurley,435 Express Point,Rhode Island,United States,3.60E+15,155,62,3,36,1,1,2,1,1,1500000,1,19,1,2,Robbert McTurley,23,2,1,2800,49,2,2,1,1,9.1,75,3,1,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,Implan,2,1,1,1,1,1,Stunting
Clementius Rolse,521 Merchant Crossing,Alabama,United States,#NULL!,150,45,2,19,2,1,1,1,1,2000000,1,18,0,1,Clementius Rolse,2,2,1,2750,47,1,2,1,2,4.7,55,3,1,2,2,#NULL!,,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Ancell Crosswaite,36188 Memorial Parkway,Arkansas,United States,#NULL!,#NULL!,#NULL!,#NULL!,24,1,2,2,1,1,1500000,1,#NULL!,1,1,Ancell Crosswaite,6,1,1,3200,52,2,1,1,2,7.2,61,3,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Tidak Stunting
Elsa Arrundale,4 Weeping Birch Avenue,Florida,United States,3.60E+15,153,49,2,30,1,1,1,1,1,1500000,1,19,1,3,Elsa Arrundale,20,2,1,3800,48,1,2,1,1,10,71,3,2,1,1,2,Program,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,Pil,1,1,1,1,1,2,Stunting
Ardith Caughte,9066 8th Drive,Texas,United States,3.60E+15,156,49,2,22,3,1,2,1,2,2500000,1,20,1,1,Ardith Caughte,7,1,1,3400,59,2,2,1,1,9,69,3,2,1,1,1,Program,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Sylvan Korf,272 Haas Center,Colorado,United States,#NULL!,162,42,1,19,2,1,2,1,2,2500000,1,18,1,1,Sylvan Korf,10,1,1,3000,#NULL!,1,2,1,1,10.3,76,3,1,1,1,2,Program,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Rosaline Rowbury,4 Daystar Alley,Maryland,United States,3.60E+15,152,56,2,40,1,1,1,1,1,2000000,1,20,1,4,Rosaline Rowbury,21,1,1,3700,55,2,2,1,2,10,81,3,1,1,1,1,Program,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,Implan,1,1,1,1,1,1,Tidak Stunting
Olwen Schlagtmans,585 Red Cloud Road,Arizona,United States,3.60E+15,149,62,3,37,1,1,1,1,1,1500000,1,18,1,3,Olwen Schlagtmans,1,1,2,3000,#NULL!,1,2,2,2,5.05,54,3,1,#NULL!,1,2,Program,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,,1,1,1,1,1,1,Tidak Stunting
Marcelle Jimenez,7 Petterle Lane,California,United States,3.60E+15,159,80,3,22,2,1,3,1,2,2500000,1,21,2,1,Marcelle Jimenez,7,2,1,3300,#NULL!,2,2,1,2,9.7,70,3,2,1,1,2,Program,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Alphonse Veljes,9164 Mesta Lane,Hawaii,United States,3.60E+15,157,66,3,30,1,1,1,1,1,2000000,1,18,1,1,Alphonse Veljes,2,2,1,3000,#NULL!,1,2,2,2,5.2,62,2,2,#NULL!,#NULL!,#NULL!,,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Averil Polin,7 Burning Wood Parkway,Tennessee,United States,3.60E+15,#NULL!,#NULL!,#NULL!,23,#NULL!,2,#NULL!,1,#NULL!,#NULL!,1,#NULL!,1,1,Averil Polin,14,1,1,#NULL!,#NULL!,1,2,1,1,9.2,80,3,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Tidak Stunting
Wilmette Stanex,28701 Pine View Hill,Georgia,United States,3.60E+15,148,47,2,28,2,1,2,1,1,1500000,1,18,1,2,Wilmette Stanex,13,2,1,3100,49,1,2,1,2,8,73,3,1,1,1,2,Program,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Holt Cowlard,93 Hazelcrest Terrace,New York,United States,3.60E+15,152,55,2,23,1,1,1,1,2,2500000,1,16,1,2,Holt Cowlard,6.5,1,1,3200,50,2,2,1,1,8.1,68,3,1,1,1,2,Program,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,Implan,2,1,1,1,1,2,Tidak Stunting
Joeann Ends,43294 Bartillon Alley,Texas,United States,3.60E+15,144,53,3,27,1,1,1,1,2,3000000,1,18,1,2,Joeann Ends,6,1,1,2800,50,1,1,1,1,7.7,66,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Elvin McKennan,72 Upham Street,Georgia,United States,3.60E+15,160,54,2,25,3,1,3,1,2,2000000,1,22,1,1,Elvin McKennan,12,2,1,4000,51,1,1,1,1,10.2,75,4,1,1,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Guinevere Jaxon,9672 5th Alley,New York,United States,3.60E+15,152,56,2,19,2,1,2,1,2,3400000,1,18,1,1,Guinevere Jaxon,10,1,1,2700,50,1,2,1,1,7.6,70,2,2,1,1,2,Program,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Elfie Gurnell,561 Atwood Crossing,Alabama,United States,3.60E+15,152,60,3,37,1,1,1,1,1,1000000,1,16,1,4,Elfie Gurnell,4,1,1,2800,44,2,2,2,1,6.1,62,3,2,2,2,#NULL!,,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Barbara-anne Dolman,78314 Autumn Leaf Place,California,United States,3.60E+15,142,65,3,38,2,2,2,1,1,1500000,1,18,1,4,Barbara-anne Dolman,17,1,1,3500,51,2,1,2,1,10.3,77,3,2,2,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Tamra Godbold,9512 Dakota Avenue,California,United States,#NULL!,165,64,2,21,3,2,3,1,2,3000000,1,20,0,1,Tamra Godbold,0.46,1,1,4000,50,2,2,2,2,4.1,52.5,4,2,2,2,#NULL!,,2,#NULL!,#NULL!,#NULL!,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,,1,1,1,1,1,1,Tidak Stunting
Holt Ramos,28 Memorial Point,California,United States,3.17E+15,140,54,3,30,1,1,2,1,1,2000000,1,23,1,3,Holt Ramos,20,1,1,3000,47,1,2,2,1,9.7,76,3,2,1,1,2,Program,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Desdemona Harbron,8 Green Ridge Road,New York,United States,3.60E+15,148,45,2,30,1,1,2,1,2,3000000,1,21,1,2,Desdemona Harbron,1.57,1,1,2040,27,1,2,1,1,4.6,55,3,1,2,2,#NULL!,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Elisabetta Leppo,1105 Heath Crossing,Missouri,United States,3.60E+15,156,56,2,26,2,1,3,1,2,2700000,1,20,1,2,Elisabetta Leppo,11,2,1,3700,50,1,2,1,1,7.1,70.5,2,2,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Stunting
Kellby Absolem,9803 Helena Center,Texas,United States,3.17E+15,140,45,2,32,2,1,1,1,1,300000,1,20,1,2,Kellby Absolem,5,1,1,3000,49,1,2,1,1,7.5,63,3,1,2,2,#NULL!,,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,,1,1,1,1,2,1,Tidak Stunting
Andrei Dahill,1 Chive Park,North Carolina,United States,3.60E+15,146,50,2,26,1,1,3,1,1,2000000,1,18,1,2,Andrei Dahill,3,2,1,3000,42,1,2,1,2,5.9,60.5,3,1,2,2,#NULL!,,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Moina Abrashkin,86833 Bluejay Court,California,United States,3.60E+15,139,76,3,29,1,1,2,1,1,1500000,1,20,0,1,Moina Abrashkin,5,2,1,3300,49,2,2,2,2,6.2,63,3,2,1,2,#NULL!,,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,,1,1,1,1,2,1,Tidak Stunting
Nicolas Giacomucci,149 Clove Place,Colorado,United States,3.60E+15,143,45,2,21,2,1,1,1,2,2200000,1,18,1,1,Nicolas Giacomucci,23,2,1,2600,47,1,2,1,2,8.5,74.5,3,2,2,1,2,Program,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Ariana Slavin,51 Onsgard Crossing,Kentucky,United States,3.60E+15,157,68,3,35,2,1,1,1,2,2500000,1,17,1,3,Ariana Slavin,22,1,1,3900,#NULL!,2,2,1,2,12,89.5,3,2,1,1,1,Program,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Quincey Slaght,2389 Laurel Center,District of Columbia,United States,3.60E+15,152,42,1,20,2,1,1,0,#NULL!,#NULL!,1,18,1,1,Quincey Slaght,19,2,1,3200,42,2,1,1,1,8.7,77,3,2,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Constantin McCurtain,62908 Dakota Avenue,District of Columbia,United States,3.60E+15,146,42.5,2,27,2,1,1,1,1,1500000,1,26,1,1,Constantin McCurtain,6,2,1,2900,49,2,1,2,2,8,66,3,1,1,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Harmon Yanshonok,812 Anderson Hill,Alabama,United States,3.60E+15,155,46,2,21,2,1,4,1,2,2500000,1,20,0,1,Harmon Yanshonok,3,2,1,3000,50,1,2,2,1,5.7,58,3,1,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Madison Woofenden,698 2nd Avenue,New York,United States,3.60E+15,151,53,2,28,2,1,2,1,1,1500000,1,19,1,2,Madison Woofenden,11,2,1,3200,50,2,2,2,1,8.1,73,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Row Mungane,34 Monterey Park,District of Columbia,United States,3.60E+15,153,55,2,29,2,1,2,1,2,2500000,1,20,1,2,Row Mungane,3,1,1,2600,49,2,2,1,1,5.4,60,3,1,#NULL!,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,Suntik 1 ,2,1,1,1,1,2,Tidak Stunting
Hurlee Pyvis,885 Gerald Lane,Missouri,United States,3.60E+15,141,53,3,30,3,1,3,1,2,3000000,1,25,1,2,Hurlee Pyvis,15,1,1,3400,47,1,2,1,2,8.1,72.5,3,1,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Stunting
Jessi Denley,10216 Oneill Street,Minnesota,United States,#NULL!,#NULL!,#NULL!,#NULL!,33,#NULL!,#NULL!,#NULL!,1,1,5000000,3,20,#NULL!,4,Jessi Denley,15,1,1,3200,#NULL!,1,1,1,1,10,76,3,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Tidak Stunting
Jameson Chipchase,443 Village Green Street,Oregon,United States,3.60E+15,144,63.5,3,32,2,1,1,1,2,2600000,1,20,1,3,Jameson Chipchase,11,2,1,3100,49,1,1,1,1,8.4,70,3,1,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Braden Brelsford,30 Farmco Trail,Iowa,United States,3.60E+15,151,71,3,40,1,1,3,1,2,2500000,1,18,1,4,Braden Brelsford,4,2,1,4000,#NULL!,1,2,1,1,7.3,64,3,1,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,Pil,1,1,1,1,1,1,Tidak Stunting
Coraline Towle,4 Hovde Circle,District of Columbia,United States,3.28E+15,163,90,3,36,1,1,2,1,2,2500000,1,21,1,2,Coraline Towle,20,1,1,4500,#NULL!,2,1,1,1,14,81,4,1,1,1,1,Program,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,Suntik 1 ,1,1,1,1,1,2,Tidak Stunting
Salomo Poulney,1747 Huxley Crossing,Louisiana,United States,3.60E+15,149,47,2,27,1,1,2,1,1,2000000,1,18,1,2,Salomo Poulney,19,2,1,3000,50,1,1,2,1,11,78,3,2,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Gustie Cardenosa,542 Chinook Trail,Ohio,United States,3.60E+15,146,46,2,27,1,1,2,1,2,5000000,1,20,1,2,Gustie Cardenosa,23,1,1,3400,49,1,2,1,1,10,80.5,3,2,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,,2,1,1,1,2,1,Stunting
Ulrick Colborn,85091 Twin Pines Alley,Minnesota,United States,3.60E+15,151,69,3,27,1,1,2,1,2,2500000,1,19,1,2,Ulrick Colborn,11,1,1,3500,51,1,2,1,1,13,72,4,2,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Jenilee Goulborne,9 Anhalt Road,Texas,United States,3.60E+15,149,55,3,24,3,2,3,1,2,6000000,1,23,1,1,Jenilee Goulborne,2,1,1,3200,50,1,1,1,2,6,62,3,2,2,2,#NULL!,,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Andriana Tregoning,38179 Randy Alley,Missouri,United States,3.60E+15,147,52,2,32,1,1,1,1,1,2000000,1,18,1,2,Andriana Tregoning,4,2,1,2600,#NULL!,1,2,1,1,5.2,56,3,1,#NULL!,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Norina Poge,4528 Nancy Trail,Maryland,United States,3.60E+15,148,52,2,26,1,1,1,1,2,2500000,1,20,0,1,Norina Poge,16,1,1,3500,#NULL!,1,2,2,2,8.1,45,2,2,2,1,1,Program,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Tanhya Geggus,8 Troy Street,Nevada,United States,3.60E+15,150,62.5,3,40,1,1,1,1,2,3000000,1,17,1,4,Tanhya Geggus,23,1,1,3200,#NULL!,1,2,2,1,9.5,80.5,3,2,2,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Stunting
Clair Unger,7 Forest Run Plaza,Kansas,United States,3.60E+15,146,51,3,22,2,1,3,1,1,1000000,1,19,1,1,Clair Unger,4,1,1,3820,51,2,2,1,1,7.1,67,3,2,2,2,#NULL!,,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Arvie Maggill'Andreis,607 Holmberg Lane,Florida,United States,3.60E+15,145,54,3,31,1,1,1,1,1,2100000,1,19,1,4,Arvie Maggill'Andreis,12,1,1,1700,#NULL!,2,2,1,1,9.2,72,3,1,1,1,1,Program,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Levon Pooke,86 Northport Plaza,California,United States,3.60E+15,160,46,1,24,3,1,2,1,2,3000000,1,21,1,1,Levon Pooke,18,1,1,3200,50,2,2,2,1,8,77.5,2,2,1,1,2,Program,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,1,1,1,1,2,1,Tidak Stunting
Garner Rembaud,4036 Butternut Crossing,Massachusetts,United States,3.60E+15,151,46,2,28,1,1,1,1,1,800000,1,19,1,2,Garner Rembaud,18,2,2,#NULL!,#NULL!,1,2,2,1,8.1,70,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,Suntik 3 ,2,1,1,1,2,1,Stunting
Micheil Mc Caughen,447 Clarendon Way,California,United States,3.60E+15,157,64,2,29,1,1,1,1,1,1500000,1,18,1,3,Micheil Mc Caughen,7,1,1,3500,51,1,1,1,1,8.2,70,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Ruthanne Haliburn,8 Caliangt Lane,Louisiana,United States,3.60E+15,159,62,2,21,2,1,3,1,2,3000000,1,19,1,1,Ruthanne Haliburn,18,2,1,3300,49,1,2,2,1,10,78,3,2,1,1,2,Program,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Suntik 1 ,2,1,1,1,1,1,Tidak Stunting
Elmore Purshouse,562 Grover Lane,Utah,United States,3.60E+15,152,83,3,30,2,1,2,1,1,1800000,1,16,1,3,Elmore Purshouse,10,1,1,4100,#NULL!,1,2,2,1,10,75,3,1,1,1,2,Program,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Isidore Broose,9 Steensland Way,Maryland,United States,3.60E+15,154,60,3,25,3,1,3,1,1,1200000,1,20,1,1,Isidore Broose,15,1,1,3500,#NULL!,2,2,1,1,10,78,3,1,1,1,2,Program,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Prent Whear,1 Waubesa Junction,Colorado,United States,3.60E+15,151,47,1,25,1,1,2,1,1,1500000,1,19,1,2,Prent Whear,1,2,1,3000,53,2,2,2,2,4.4,54,3,1,2,2,#NULL!,,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,Pil KB,2,1,1,1,1,1,Tidak Stunting
